user_id,product_id,product_name,brand,category,price,rating,color
19,1,watch strap,Adidas,Accessories,142.68,1.043159211,Black
97,2,ikea sofa,H&M,Women's Fashion,82,4.026416271,Black
25,3,backpack,Adidas,Women's Fashion,44,3.337937559,Yellow
57,4,macbook air,Zara,Electronics,23,1.049522956,White
79,5,under armour t-shirt,Adidas,Clothing & Apparel,79,4.302773408,Black
98,6,ipad pro,Adidas,Men's Fashion,47,1.37956574,Yellow
16,7,sony bravia tv,Gucci,Men's Fashion,37,1.356750375,White
63,8,carter's onesie,Zara,Kids' Fashion,64,4.360303289,Blue
96,9,vase,H&M,Men's Fashion,53,4.466181876,Green
36,10,zara blouse,Zara,Kids' Fashion,55,4.093234402,White
69,11,phone case,Adidas,Men's Fashion,51,1.160987957,Red
87,12,sunglasses,Gucci,Kids' Fashion,91,2.699735538,Yellow
9,13,crocs,Nike,Kids' Fashion,35,1.60119358,Red
50,14,instant pot,Zara,Women's Fashion,34,2.921004204,White
31,15,tempur-pedic mattress,Zara,Men's Fashion,54,3.670412239,Yellow
37,16,lg oled tv,Adidas,Women's Fashion,27,1.422716143,Blue
41,17,nike running shoes,Gucci,Women's Fashion,75,1.480632132,Blue
15,18,throw pillows,Gucci,Women's Fashion,73,4.498244681,Red
84,19,cookware set,Kitchenware,Home & Furniture,451.49,3.278340556,White
56,20,adidas tracksuit,Gucci,Men's Fashion,53,3.785245245,Green
87,21,sony bravia tv,Electronics,Men's Fashion,56,2.609587353,Yellow
56,22,levi's jeans,Gucci,Women's Fashion,89,4.568632343,Green
60,23,gap hoodie,Zara,Kids' Fashion,91,4.072724797,Yellow
64,24,samsung galaxy tab,Zara,Women's Fashion,15,2.499756274,Yellow
65,25,apple iphone 14,H&M,Kids' Fashion,38,1.020492671,Green
26,26,ashley recliner,Gucci,Women's Fashion,21,4.748169005,Green
82,27,closet organizer,Adidas,Kids' Fashion,72,3.301743408,Red
87,28,kitchenaid mixer,Zara,Home & Furniture,32,2.82280286,Yellow
98,29,old navy dress,Gucci,Women's Fashion,85,4.940985221,Yellow
20,30,wallet,Nike,Accessories,99,3.110113573,Green
36,31,tote bag,H&M,Kids' Fashion,37,2.755187149,Blue
98,32,apple watch,Nike,Kids' Fashion,78,3.44728947,White
69,33,children's hoodie,H&M,Kids' Fashion,89,4.799409019,Green
31,34,charging cable,H&M,Men's Fashion,80,3.92326116,Black
48,35,fitbit charge,Zara,Women's Fashion,37,4.173991568,Blue
18,36,office chair,H&M,Kids' Fashion,74,1.014996128,Green
27,37,brooklinen sheets,Zara,Kids' Fashion,48,4.947664783,Blue
60,38,nike air force 1,Nike,Kids' Fashion,76,2.663067924,Yellow
46,39,bose soundbar,Adidas,Men's Fashion,90,1.788771519,Yellow
84,40,samsung galaxy s23,Zara,Women's Fashion,26,2.435611336,Black
43,41,belt,Gucci,Women's Fashion,40,2.922173646,Blue
43,42,power bank,Zara,Kids' Fashion,43,1.671958886,Red
91,43,dell xps 13,Adidas,Men's Fashion,39,3.601868547,White
78,44,wall art,Nike,Kids' Fashion,74,2.039156739,White
